event,station,time,phase
0,V0807,2024-06-16 11:59:15.181100775,P
0,V0505,2024-06-16 11:59:15.181097176,P
0,V0409,2024-06-16 11:59:15.181099033,P
0,V0506,2024-06-16 11:59:15.181100558,P
0,V0808,2024-06-16 11:59:15.181101583,P
0,V0805,2024-06-16 11:59:15.181100915,P
0,V0408,2024-06-16 11:59:15.181100962,P
0,V0504,2024-06-16 11:59:15.181098614,P
0,V0410,2024-06-16 11:59:15.181097944,P
0,V0412,2024-06-16 11:59:15.181099046,P
1,V0807,2024-06-16 11:59:21.453555516,P
1,V0303,2024-06-16 11:59:21.453556010,P
1,V0414,2024-06-16 11:59:21.453556124,P
1,V0307,2024-06-16 11:59:21.453556342,P
1,V0508,2024-06-16 11:59:21.453555174,P
1,V0306,2024-06-16 11:59:21.453554969,P
1,V0809,2024-06-16 11:59:21.453554934,P
1,V0505,2024-06-16 11:59:21.453555383,P
1,V0117,2024-06-16 11:59:21.453552204,P
1,V0506,2024-06-16 11:59:21.453554311,P
1,V0808,2024-06-16 11:59:21.453554883,P
1,V0410,2024-06-16 11:59:21.453556617,P
1,V0305,2024-06-16 11:59:21.453554729,P
1,V0302,2024-06-16 11:59:21.453556906,P
1,V0810,2024-06-16 11:59:21.453555873,P
1,V0412,2024-06-16 11:59:21.453555551,P
1,V0304,2024-06-16 11:59:21.453555979,P
2,V0509,2024-06-16 11:59:23.707982517,P
2,V0807,2024-06-16 11:59:23.707980980,P
2,V0303,2024-06-16 11:59:23.707980091,P
2,V0403,2024-06-16 11:59:23.707993091,P
2,V0414,2024-06-16 11:59:23.707981251,P
2,V0811,2024-06-16 11:59:23.707982208,P
2,V0307,2024-06-16 11:59:23.707980137,P
2,V0812,2024-06-16 11:59:23.707984082,P
2,V0703,2024-06-16 11:59:23.707989120,P
2,V0508,2024-06-16 11:59:23.707980170,P
2,V0306,2024-06-16 11:59:23.707978725,P
2,V0109,2024-06-16 11:59:23.707989508,P
2,V0704,2024-06-16 11:59:23.707994666,P
2,V0809,2024-06-16 11:59:23.707980117,P
2,V0505,2024-06-16 11:59:23.707980787,P
2,V0510,2024-06-16 11:59:23.707985488,P
2,V0409,2024-06-16 11:59:23.707983538,P
2,V0117,2024-06-16 11:59:23.707975791,P
2,V0506,2024-06-16 11:59:23.707979649,P
2,V0309,2024-06-16 11:59:23.707984433,P
2,V0402,2024-06-16 11:59:23.707995312,P
2,V0808,2024-06-16 11:59:23.707980290,P
2,V0802,2024-06-16 11:59:23.707993828,P
2,V0407,2024-06-16 11:59:23.707987100,P
2,V0308,2024-06-16 11:59:23.707982044,P
2,V0502,2024-06-16 11:59:23.707989350,P
2,V0310,2024-06-16 11:59:23.707986894,P
2,V0102,2024-06-16 11:59:23.708004704,P
2,V0702,2024-06-16 11:59:23.707985204,P
2,V0805,2024-06-16 11:59:23.707983176,P
2,V0408,2024-06-16 11:59:23.707985244,P
2,V0504,2024-06-16 11:59:23.707982865,P
2,V0410,2024-06-16 11:59:23.707982091,P
2,V0305,2024-06-16 11:59:23.707978614,P
2,V0302,2024-06-16 11:59:23.707981054,P
