id,ev_id,o_id,ev_type,time,latitude,longitude,depth,mag_type,mag,mag_plot_size,method_id,evaluation_mode,author,rms,az_gap,num_phase
1,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjqfpigaa,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415094341.04683.5766790,None,2024-04-15T09:43:30.664718Z,46.51091588,8.476285198,-1405.092543,MwA,-3.805829576,1.474016993,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,2.08E-04,313.7896914,5
2,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjqnkwyna,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415095251.353807.5779600,None,2024-04-15T09:52:41.106220Z,46.51053341,8.47603517,-1389.045803,MwA,-4.32687837,0.809055088,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,4.03E-05,101.9804005,6
3,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjqoxxvtn,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415095436.940005.5782027,None,2024-04-15T09:54:26.655759Z,46.51054425,8.476109215,-1395.73673,MwA,-4.410144646,0.735097516,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,1.16E-04,83.75029846,7
4,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjqpophna,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415095522.089275.5782959,None,2024-04-15T09:55:11.734352Z,46.51056022,8.476242501,-1382.366377,MwA,-4.347613419,0.789969945,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,4.75E-06,106.6240299,5
5,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjsyvhqaa,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415110708.698387.5906108,None,2024-04-15T11:06:58.408445Z,46.51051981,8.476100369,-1396.998228,MwA,-3.653663808,1.756246105,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,1.26E-04,82.29477001,17
6,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjtchfptn,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415111112.147822.5913010,None,2024-04-15T11:11:01.559992Z,46.51048156,8.476021001,-1395.654332,MwA,-4.395345795,0.747729269,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,4.95E-06,122.127067,6
7,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjtchfyaa,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415111112.212822.5913128,None,2024-04-15T11:11:01.594771Z,46.51047689,8.476022758,-1395.752543,MwA,-3.742361652,1.585756324,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,0.000156348,66.744573,14
8,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjtljoxaa,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415112151.573795.5929549,None,2024-04-15T11:21:40.668324Z,46.51047639,8.476028209,-1397.590075,MwA,-4.362532635,0.776516987,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,3.17E-05,111.4778318,6
9,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjucbovna,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415114124.584395.5960382,None,2024-04-15T11:41:14.198862Z,46.51055153,8.476127267,-1387.547243,MwA,-4.331562653,0.804703614,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,4.81E-05,85.93503826,7
10,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjucljxna,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415114152.410922.5961370,None,2024-04-15T11:41:40.725968Z,46.51053152,8.4761233,-1397.357223,MwA,-3.820506246,1.449319566,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,1.74E-04,87.03268669,15
11,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjuquczna,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415115838.784205.5983126,None,2024-04-15T11:58:28.600511Z,46.51046817,8.476015126,-1396.52719,MwA,-3.814359051,1.459613101,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,6.27E-05,60.40794867,12
12,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjurivngn,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415115918.605373.5984006,None,2024-04-15T11:59:08.381189Z,46.51050354,8.476025445,-1392.396894,MwA,-4.446537759,0.704933904,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,1.21E-04,125.5211498,7
13,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjuuvaina,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415120322.370126.5989069,None,2024-04-15T12:03:12.242181Z,46.51054253,8.476109188,-1395.533505,MwA,-4.325960726,0.809910287,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,0.000113303,84.30957463,8
14,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjvanpvaa,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415121004.381969.5998834,None,2024-04-15T12:09:54.044748Z,46.51049253,8.475998974,-1390.551111,MwA,-4.073610554,1.082958966,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,8.06E-05,85.57584157,11
15,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjvcscxaa,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240514091642.187938.5910,induced or triggered event,2024-04-15T12:12:26.836508Z,46.51061527,8.476479762,-1422.872534,MwA,-3.814534505,1.45931829,smi:org.gfz-potsdam.de/geofon/StdLoc_OctTree+LeastSquares,manual,mesimeri,0.000117954,251.7759062,8
16,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjvczkxna,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415121257.820442.6002541,None,2024-04-15T12:12:46.590899Z,46.51080928,8.475873272,-1391.495458,MwA,-3.91061429,1.306502163,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,4.94E-05,285.3708958,5
17,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjvddkign,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415121308.564634.6002825,None,2024-04-15T12:12:57.345175Z,46.51052383,8.476107848,-1398.115635,MwA,-4.23734743,0.896899048,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,1.56E-04,89.6212314,10
18,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjvnusyaa,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415122538.18648.6025467,None,2024-04-15T12:25:27.248230Z,46.51056519,8.476152145,-1387.361377,MwA,-4.165429975,0.97432151,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,8.60E-05,85.42336485,11
19,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjvozgzna,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415122700.127008.6027606,None,2024-04-15T12:26:49.830720Z,46.51055986,8.476260069,-1382.460184,MwA,-4.152271844,0.989193733,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,1.32E-04,107.7897446,10
20,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjvpukktn,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415122757.210671.6029045,None,2024-04-15T12:27:46.973522Z,46.51047607,8.476023848,-1396.549048,MwA,-4.077650614,1.077933505,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,7.12E-05,66.00484799,11
21,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjvsmcogn,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415123105.866246.6034487,None,2024-04-15T12:30:55.437299Z,46.51047797,8.475972901,-1389.976416,MwA,-4.518384479,0.648970624,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,1.34E-04,79.30742254,7
22,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjvtyfxna,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415123248.756932.6036931,None,2024-04-15T12:32:38.534732Z,46.51056542,8.476148711,-1387.020686,MwA,-4.147511451,0.994629996,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,0.000160125,84.69165902,7
23,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjvxjwnna,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415123651.151423.6043600,None,2024-04-15T12:36:40.918496Z,46.51048503,8.476037122,-1396.90003,MwA,-4.278222579,0.855669375,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,1.73E-04,70.34676192,10
24,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjvxsopaa,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240514091442.270893.5797,induced or triggered event,2024-04-15T12:37:04.438469Z,46.51056355,8.476431337,-1413.212963,MwA,-4.108599404,1.040201741,smi:org.gfz-potsdam.de/geofon/StdLoc_OctTree+LeastSquares,manual,mesimeri,7.00E-05,252.1676803,8
25,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjvxubctn,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415123718.953263.6044698,None,2024-04-15T12:37:08.441220Z,46.51054267,8.476150491,-1398.355771,MwA,-3.675336721,1.712966689,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,9.97E-05,91.6475176,17
