event,station,time,phase,amplitude
287,V0105,2024-08-16 11:11:32.512605195,S,3.3357122548167834e-05
104,V0307,2024-08-16 11:10:20.966339283,P,0.0001186230961521717
225,V0410,2024-08-16 11:11:07.772274034,S,0.00034267953304647494
-1,V0304,2024-08-16 11:09:41.158817000,S,0.00018647209185293699
-1,V0807,2024-08-16 11:10:40.855700000,P,0.0004085133521646069
218,V0508,2024-08-16 11:11:04.105739030,S,0.00012772844170821714
24,V0304,2024-08-16 11:09:50.890506703,S,7.831094608372067e-05
291,V0505,2024-08-16 11:11:34.221130701,S,0.00034906804001157653
213,V0702,2024-08-16 11:11:03.298159367,S,0.00028429692170875713
107,V0812,2024-08-16 11:10:21.333709522,S,0.00013185347973315056
108,V0410,2024-08-16 11:10:21.556535830,P,0.00022660081879156952
-1,V0109,2024-08-16 11:10:03.641986000,S,0.0001365423235213911
-1,V0403,2024-08-16 11:11:27.642859000,P,3.5343542001362286e-05
21,V0309,2024-08-16 11:09:50.467137233,S,3.6518274588655977e-05
-1,V0105,2024-08-16 11:10:45.878413000,S,0.00010785348717197834
-1,V0807,2024-08-16 11:11:05.089964000,S,8.550164023503326e-05
31,V0403,2024-08-16 11:09:53.774655186,P,6.80432088858324e-05
54,V0505,2024-08-16 11:10:02.555831741,S,0.00012539108019129258
272,V0306,2024-08-16 11:11:26.951680369,P,4.0599027102169876e-05
78,V0404,2024-08-16 11:10:13.526738296,S,0.00015507441684503025
289,V0805,2024-08-16 11:11:33.006417572,P,0.00042562154265859704
273,V0807,2024-08-16 11:11:28.719923338,P,5.284027246840096e-05
230,V0307,2024-08-16 11:11:08.556165087,S,7.892738270409863e-05
284,V0305,2024-08-16 11:11:32.019574370,S,0.00019935307428521073
20,V0505,2024-08-16 11:09:50.058090326,P,0.00019505306833755148
234,V0303,2024-08-16 11:11:09.597915487,P,0.00019741424815457814
-1,V0412,2024-08-16 11:10:16.421817000,S,5.124312598995085e-05
44,V0414,2024-08-16 11:09:59.612030972,P,4.300817911601265e-05
185,V0303,2024-08-16 11:10:51.677475789,S,0.0006455818587141693
-1,V0508,2024-08-16 11:11:06.445942000,P,0.00014495115161904424
204,V0809,2024-08-16 11:10:57.756396250,S,9.810180684564793e-05
15,V0702,2024-08-16 11:09:47.435306647,P,8.065540767420934e-05
78,V0510,2024-08-16 11:10:13.526730879,S,0.00019364135504122378
-1,V0505,2024-08-16 11:10:52.227442000,S,0.00029575695478904665
-1,V0404,2024-08-16 11:09:40.721526000,S,0.0009812333089284746
-1,V0702,2024-08-16 11:10:40.946429000,S,8.530748000108657e-05
267,V0410,2024-08-16 11:11:24.550110726,P,0.0005229258331040669
162,V0414,2024-08-16 11:10:43.062782087,P,0.0001140341686175424
-1,V0305,2024-08-16 11:09:49.289870000,S,0.001990369896841804
-1,V0102,2024-08-16 11:11:31.418233000,S,0.0001344286118781112
226,V0412,2024-08-16 11:11:07.781087433,P,0.0006987491698445432
59,V0310,2024-08-16 11:10:04.693327725,P,6.723840484132508e-05
-1,V0305,2024-08-16 11:11:38.234078000,P,0.0002085978718980865
286,V0302,2024-08-16 11:11:32.402547696,P,3.2279181515246756e-05
252,V0407,2024-08-16 11:11:19.616140941,S,9.689508074015554e-05
83,V0408,2024-08-16 11:10:15.338398615,P,8.16916692144632e-05
