id,longitude,latitude,altitude,e,n,u
V0509,8.47645,46.510649,1415.819791,-70.627,-35.838,-69.56
V0807,8.476185,46.510617,1369.170083,-90.957,-39.659,-116.21
V0303,8.47581,46.510408,1401.825974,-119.436,-63.368,-83.554
V0403,8.475671,46.510075,1322.96251,-129.612,-100.482,-162.417
V0414,8.476395,46.51055,1398.835805,-74.712,-46.885,-86.544
V0811,8.476415,46.510802,1405.73225,-73.599,-18.942,-79.648
V0307,8.476155,46.51064,1422.179439,-93.298,-37.229,-63.201
V0812,8.476484,46.510854,1416.481563,-68.343,-13.077,-68.898
V0703,8.47653,46.510825,1458.997593,-64.787,-16.208,-26.382
V0508,8.476314,46.510557,1401.703681,-80.993,-46.2,-83.676
V0306,8.476048,46.510569,1415.898849,-101.41,-45.213,-69.481
V0109,8.475354,46.510304,1343.7669,-154.278,-75.295,-141.613
V0704,8.476912,46.51091,1472.187971,-35.58,-6.414,-13.192
V0809,8.476283,46.510698,1384.961394,-83.513,-30.643,-100.419
V0505,8.476101,46.510418,1379.622804,-97.084,-61.874,-105.757
V0510,8.476582,46.510736,1429.110642,-60.689,-26.084,-56.269
V0409,8.476074,46.51034,1364.973979,-99.049,-70.65,-120.406
V0117,8.475947,46.510667,1394.053397,-109.254,-34.343,-91.327
V0506,8.476233,46.510505,1393.378688,-87.126,-52.104,-92.001
V0309,8.476376,46.510782,1435.994505,-76.537,-21.2,-49.385
V0402,8.475582,46.510019,1314.00937,-136.361,-106.841,-171.371
V0808,8.476233,46.510657,1376.825904,-87.349,-35.236,-108.554
V0802,8.475783,46.510256,1303.667638,-121.285,-80.238,-181.712
V0407,8.475913,46.510233,1348.173509,-111.283,-82.652,-137.206
V0308,8.476259,46.510707,1428.505384,-85.366,-29.591,-56.875
V0502,8.47573,46.510171,1340.242488,-125.238,-89.696,-145.138
V0310,8.476489,46.510853,1443.767224,-67.977,-13.132,-41.613
V0102,8.474695,46.509915,1292.983432,-204.288,-119.246,-192.397
V0702,8.476226,46.510763,1448.63109,-88.04,-23.468,-36.749
V0805,8.476095,46.510541,1354.745462,-97.703,-48.262,-130.635
V0408,8.475993,46.510286,1356.578269,-105.157,-76.667,-128.802
V0504,8.475994,46.510348,1368.346129,-105.174,-69.836,-117.034
V0410,8.476154,46.510393,1373.406364,-92.968,-64.657,-111.974
V0305,8.475926,46.510486,1408.586405,-110.647,-54.497,-76.794
V0302,8.475755,46.51037,1398.666825,-123.546,-67.611,-86.713
V0104,8.474908,46.510039,1308.825761,-188.108,-105.234,-176.554
V0810,8.476342,46.510745,1394.371682,-79.077,-25.334,-91.008
V0412,8.476236,46.510447,1381.935568,-86.811,-58.559,-103.444
V0417,8.476556,46.510653,1416.073858,-62.515,-35.272,-69.306
V0105,8.47491,46.51004,1308.957861,-187.975,-105.118,-176.422
V0404,8.475671,46.510075,1323.03228,-129.56,-100.432,-162.348
V0304,8.475812,46.510409,1401.946557,-119.278,-63.207,-83.433
