,e,n,u,time,magnitude
0,-100.7198614566907,-61.076926392411934,-108.8837327867456,2024-06-16 11:59:15.181096293,-3.4936336318788306
1,-103.42604056201012,-40.38963796985266,-92.5988792473767,2024-06-16 11:59:21.453550660,-3.3436481801328704
2,-108.28172892617488,-37.47371593672514,-87.74494443098104,2024-06-16 11:59:23.707974909,-1.647837535527152
3,-114.07834571750935,-78.57450719461569,-105.89375550975755,2024-06-16 11:59:27.087319009,-3.154582723519958
4,-117.22953656591163,-42.52901885987241,-85.73843940221349,2024-06-16 11:59:27.235890563,-3.1387974103729275
5,-98.65129528327634,-41.3851604207672,-95.18966883800219,2024-06-16 11:59:30.240802908,-3.2940813812114995
6,-114.0034865823717,-53.913604672670616,-94.45133043503822,2024-06-16 11:59:37.046708302,-3.3456696603077423
7,-83.58438334559114,-56.69003755679563,-114.77956880101287,2024-06-16 11:59:38.792494904,-3.4786555854700603
8,-81.84963903141988,-53.553421481566,-114.83933198135543,2024-06-16 11:59:39.687086741,-3.441576886218966
9,-101.38319842062218,-53.07782987491176,-99.89141555258631,2024-06-16 11:59:42.101529165,-3.25937668455179
10,-93.65828759810557,-75.10517538458222,-115.60039058840769,2024-06-16 11:59:42.428430847,-3.4585348584144553
11,-83.63965942739408,-38.42759547134838,-103.37333119163343,2024-06-16 11:59:42.991204728,-2.7892622000877294
12,-105.69941797843497,-54.77791505025485,-102.2012443787975,2024-06-16 11:59:48.633331577,-3.418253817243471
13,-67.09734497927029,-51.29277793633687,-118.61991675750241,2024-06-16 11:59:54.425336152,-3.4891377083045207
14,-121.21437985676391,-77.06821387142465,-104.37309093937802,2024-06-16 11:59:57.733811881,-3.361441183118919
15,-94.92308421397395,-53.77076852696424,-104.65976523137488,2024-06-16 11:59:57.892993320,-3.149377687929901
16,-101.03423749728924,-57.783682179802966,-102.79721126187451,2024-06-16 12:00:06.924289117,-3.2267360890635826
17,-84.39270126338627,-43.932224982547964,-107.22018410530636,2024-06-16 12:00:07.700591156,-2.1896747846213414
18,-110.42924927414717,-48.375032875364894,-93.58656580265672,2024-06-16 12:00:08.601258875,-3.235407779515166
19,-98.03412124451934,-51.623014597287884,-101.37737821436016,2024-06-16 12:00:08.749568996,-3.304964770645168
20,-94.9422274781073,-65.91900003157079,-112.64848137195905,2024-06-16 12:00:11.298160353,-3.3624567219445276
21,-103.03437618444168,-66.5985722443637,-106.50812499152605,2024-06-16 12:00:17.103200086,-3.3273183555628147
22,-120.11916093898033,-64.68888584718655,-98.19528454760683,2024-06-16 12:00:19.626563901,-3.4109729864550644
23,-77.39748528379178,-37.27184989729632,-105.16913205580035,2024-06-16 12:00:32.219605246,-3.338689913704822
24,-82.04982731885796,-46.1050777065131,-107.53592271722167,2024-06-16 12:00:34.428889882,-2.18918421876502
25,-115.11432223538523,-56.14197552181251,-93.74637314575814,2024-06-16 12:00:34.592432303,-3.321341229150318
26,-102.41395052099833,-31.85081483849502,-87.29718105215035,2024-06-16 12:00:35.718050818,-3.4566741647879824
27,-107.20939493399106,-66.25739922029236,-106.21730989193595,2024-06-16 12:00:36.055713774,-3.3654169780002956
28,-105.58623355509778,-76.37863526569235,-111.25023507596092,2024-06-16 12:00:37.132642680,-3.4281678437414507
29,-104.96493557168074,-36.214816252918766,-88.08013256688605,2024-06-16 12:00:39.455155281,-3.441808368132955
30,-104.04147359601228,-52.066932668434426,-101.01283658071067,2024-06-16 12:00:41.140428088,-3.3548269843416283
31,-102.42474592591051,-51.47522673306985,-98.47323087077942,2024-06-16 12:00:50.982210206,-3.1513371113601516
32,-104.83211507230295,-49.48328140213447,-97.64658396070118,2024-06-16 12:00:58.389491811,-3.380049206363297
33,-80.36713445217177,-62.471749455121646,-119.0400724581033,2024-06-16 12:01:08.477015716,-3.3650066486922534
34,-107.91604606371286,-53.473411915856836,-99.76424145473464,2024-06-16 12:01:09.971331099,-3.3153629676660916
35,-93.61992367401398,-34.92336852881537,-95.78408604619348,2024-06-16 12:01:16.422748766,-3.3573584185640906
36,-106.93315580569711,-45.34916636962265,-96.30378421742266,2024-06-16 12:01:17.865433198,-3.445337614342787
37,-130.73596060300946,-29.99017937234277,-68.24961290438621,2024-06-16 12:01:20.789300650,-3.3753315221411384
38,-105.9277844166898,-75.0726303203625,-110.50495933249296,2024-06-16 12:01:22.041057306,-3.114133363080474
39,-100.54442476759326,-52.44657567889442,-101.10324400547364,2024-06-16 12:01:27.195715064,-3.2651627703643187
40,-105.86225780531669,-63.97807170686808,-107.78120100757516,2024-06-16 12:01:29.913667182,-3.3592857079653555
41,-94.54278064728204,-59.47222713750498,-108.6857008434828,2024-06-16 12:01:33.644407283,-3.283904215679656
42,-97.99380514234572,-31.851317461071183,-87.40917845643672,2024-06-16 12:01:37.443924404,-3.397941027980748
43,-103.2694060144011,-41.689180113362305,-90.75003494714527,2024-06-16 12:01:38.629628379,-3.2460724584613416
44,-104.80344008542346,-61.656268109118336,-103.37614875544105,2024-06-16 12:01:43.091507535,-3.4097092663667192
45,-103.98795696000272,-65.16012605621427,-103.77554231434733,2024-06-16 12:01:44.877812472,-3.462565026761257
46,-100.22120254751249,-62.05870071679086,-104.52730233952354,2024-06-16 12:01:47.940133578,-3.3539050421394303
47,-97.9434055806454,-29.812693901918866,-89.36855976325371,2024-06-16 12:01:49.243941512,-3.1497630780865995
48,-91.431729394237,-40.18731734190653,-97.09058422350292,2024-06-16 12:01:50.665060032,-2.979022147856323
49,-111.75398101716083,-78.56972751728058,-113.59764952921564,2024-06-16 12:01:52.025906930,-2.9308829687281412
50,-106.5723744549118,-55.329019896265805,-100.56402806803574,2024-06-16 12:01:53.670014239,-2.25141822708152
51,-101.30204187550696,-57.35695824637561,-100.73327954006173,2024-06-16 12:01:53.991648657,-3.259682857842703
52,-92.00109022057784,-60.08885027271532,-112.43581192036876,2024-06-16 12:02:05.925262434,-3.499610638991897
53,-107.55369563552256,-64.27146270312794,-102.70481084049771,2024-06-16 12:02:08.466675166,-3.347952132680742
54,-85.59025948392522,-33.305229662424985,-98.45022978100191,2024-06-16 12:02:12.191521480,-3.314463613026387
55,-86.9994011485173,-42.101027481517576,-102.22779032369779,2024-06-16 12:02:13.541901562,-3.3058507980761975
56,-102.3182144830004,-52.10690211001226,-101.58425454661753,2024-06-16 12:02:16.151323579,-3.4131605096015
57,-94.54499104426368,-57.75351366125758,-107.34580368453602,2024-06-16 12:02:19.711625096,-3.4257741350187234
58,-102.95631520113027,-62.04738947777712,-106.89156333065775,2024-06-16 12:02:20.181249403,-2.8829558410833713
59,-114.72423926534246,-79.93021950786195,-109.7774739590115,2024-06-16 12:02:20.541546801,-3.289262822589393
60,-105.6395713834302,-68.71194752573746,-108.32795263445178,2024-06-16 12:02:22.441864099,-2.998029682826432
61,-97.64366057895263,-50.98184015094814,-104.25118420067585,2024-06-16 12:02:27.387561857,-3.476805387832146
62,-100.54998949469359,-66.16508088911687,-107.22659532101649,2024-06-16 12:02:34.192993471,-2.821702014333805
63,-114.9318595237839,-46.317673163135495,-91.13646465446693,2024-06-16 12:02:34.974039030,-3.0886687167246327
64,-77.28025928626788,-39.861889160595034,-109.41075515318508,2024-06-16 12:02:36.352099762,-3.4698357357186103
65,-111.39468347240027,-48.650127183044745,-97.67288212430805,2024-06-16 12:02:38.145245152,-3.185722939842466
66,-90.26291082767672,-48.069284751586125,-101.3227347861775,2024-06-16 12:02:39.708230104,-2.7875393075143586
67,-28.883587066312316,-52.37796652765197,-141.09087976468552,2024-06-16 12:02:41.783218771,-3.4987790561050196
68,-110.89683785390513,-38.22453961569403,-86.09615097793481,2024-06-16 12:02:43.465879785,-2.7104925585625894
69,-122.54822327144213,-55.29381333107955,-91.71767861718405,2024-06-16 12:02:48.373224870,-3.04207338308949
70,-83.14404392437388,-40.320423221405974,-105.50868922275569,2024-06-16 12:02:50.485425731,-3.1999716238951663
71,-90.36077489590527,-52.83848353752043,-107.088007051559,2024-06-16 12:02:52.234434161,-3.25904706613648
72,-117.61677637016014,-68.12918072298274,-97.9700307675653,2024-06-16 12:02:56.039599021,-3.421533895819959
73,-86.19199439222336,-34.6465770688877,-98.72238736796572,2024-06-16 12:02:57.348647720,-3.3994724856079346
74,-78.78195763200426,-36.841437689038415,-102.94050586131466,2024-06-16 12:02:59.500397591,-3.333733214378184
75,-89.22008207771054,-39.299177973128444,-99.88718521153172,2024-06-16 12:03:02.776756658,-3.3672130581948228
76,-97.52867262704781,-63.315573879300686,-111.34443500484613,2024-06-16 12:03:05.149525530,-3.466194883759736
77,-85.47726923917693,-41.88982750215935,-102.61031774151492,2024-06-16 12:03:13.121669809,-3.3286748648435482
78,-77.76010687794242,-28.97528147749103,-103.35443204905285,2024-06-16 12:03:15.130465727,-3.3976178426974326
79,-111.32915116358554,-57.18429258969781,-97.95268852160325,2024-06-16 12:03:20.251423338,-3.334093178681639
80,-80.92970302519873,-50.73002847319494,-112.50997556438436,2024-06-16 12:03:26.248764334,-3.496182259801334
81,-105.4057600156902,-74.54381225931222,-112.69751381920112,2024-06-16 12:03:26.647351472,-3.4398772265181408
82,-112.8004908968075,-71.51945970309126,-102.66333877860686,2024-06-16 12:03:29.727974588,-3.397050877043709
83,-97.55255720642789,-60.05721474828125,-109.01919853260189,2024-06-16 12:03:30.237804747,-3.4667413447724233
84,-104.72287080122244,-55.99530096745416,-102.67796972198182,2024-06-16 12:03:34.129371904,-3.4710008948179913
85,-93.6443555270024,-45.696007749602316,-101.75681653954949,2024-06-16 12:03:34.540657138,-2.91095168250871
86,-83.1464158033359,-55.50401203484255,-114.03803104675423,2024-06-16 12:03:36.900638190,-3.360572672664674
87,-92.61778446633545,-31.50751198831463,-96.70020852389395,2024-06-16 12:03:40.492497156,-3.013525986986767
88,-85.84717506799798,-46.46207764219837,-102.7583723122913,2024-06-16 12:03:46.206377887,-3.3467663687028737
89,-88.38202238445054,-45.20660906008245,-106.99340744385397,2024-06-16 12:03:49.103450677,-3.2739857020131216
90,-87.91017411198591,-57.59689326174772,-113.26878514343764,2024-06-16 12:03:55.013938870,-3.0495473520392378
91,-112.09369033707392,-65.25667842311309,-97.95598606950284,2024-06-16 12:03:56.331802083,-3.0457684668191574
92,-99.54202206651817,-52.984484248018326,-103.89714445539693,2024-06-16 12:03:58.811615358,-3.4647784603085627
93,-115.2348144816626,-87.44473550486481,-113.26224599818208,2024-06-16 12:04:00.493735535,-3.175502056412869
94,-117.3992357322311,-49.975065877100036,-90.59281392059883,2024-06-16 12:04:00.616614773,-3.215415961369704
95,-94.3821110903605,-54.61197703790155,-107.19744940753641,2024-06-16 12:04:02.471125634,-3.2375739520853397
96,-96.68152678430056,-45.282843196876804,-99.31940435916866,2024-06-16 12:04:06.878416143,-3.4598774555785505
97,-98.35876277240722,-37.127421646039984,-93.64100576246923,2024-06-16 12:04:08.866506998,-3.2941530835013073
98,-98.51389503323935,-55.33611522520571,-102.36008601663613,2024-06-16 12:04:11.065170751,-3.4343064338282745
99,-103.00130377270452,-54.624996701861626,-101.41408002642157,2024-06-16 12:04:16.499781666,-3.493679066199158
